turn,heading,epfd,hour,imo,to_bow,course,to_stern,status,callsign,month,to_port,to_starboard,lat,spare_1,destination,maneuver,msg_type,raim,dte,second,ais_version,speed,ship_type,draught,day,accuracy,radio,minute,mmsi,year,repeat,lon,shipname
0.0,225,,,,,315.0,,15,,,,,41.342953,b'\x00',,0,1,False,,20,,0.0,,,,True,33578,,225989401,,0,2.158567,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.340577,b'\x00',,0,1,True,,21,,0.0,,,,True,99119,,224304570,,0,2.165323,
-2.0,280,,,,,281.4,,0,,,,,41.26815,b'\x00',,0,3,False,,20,,10.9,,,,True,0,,613013405,,0,2.230423,
,,0,24,9791509,11,,21,,EAAO,0,5,7,,b'\x00',-,,5,,True,,1,,52,0.0,0,,,60,224026000,,0,,CALA GULLO
0.0,27,,,,,360.0,,0,,,,,41.335595,b'\x00',,0,1,True,,22,,0.0,,,,True,114798,,224101930,,0,2.144973,
TurnRate.NO_TI_DEFAULT,511,,,,,122.8,,7,,,,,41.373718,b'\x00',,0,1,True,,23,,0.1,,,,True,66399,,224066460,,0,2.184985,
-12.0,148,,,,,3.5,,5,,,,,41.4134,b'\x00',,0,3,False,,23,,0.0,,,,False,85450,,538070845,,0,2.230493,
0.0,55,,,,,240.7,,0,,,,,41.34798,b'\x00',,0,3,False,,24,,0.1,,,,False,27619,,224327160,,0,2.162735,
0.0,5,,,,,5.9,,7,,,,,41.374823,b'\x00',,0,1,False,,23,,0.0,,,,False,82012,,224220140,,0,2.185232,
0.0,277,,,,,298.4,,0,,,,,41.30045,b'\x00',,0,1,False,,23,,2.4,,,,False,99192,,636020334,,0,2.466933,
0.0,5,,,,,253.5,,0,,,,,41.340835,b'\x00',,0,1,False,,23,,0.0,,,,False,49246,,224220360,,0,2.15023,
,,3,15,9873008,28,,20,,ZJL2554,12,4,5,,b'\x00',ESBCN,,5,,False,,2,,37,2.6,17,,,0,378113477,,0,,LION
16.0,281,,,,,282.3,,0,,,,,41.268185,b'\x00',,0,3,False,,23,,11.0,,,,True,7328,,613013405,,0,2.230228,
0.0,26,,,,,310.7,,0,,,,,41.364023,b'\x00',,0,1,False,,24,,0.0,,,,False,66513,,224115180,,0,2.179693,
0.0,247,,,,,184.6,,5,,,,,41.364897,b'\x00',,0,3,False,,25,,0.0,,,,False,86506,,225991180,,0,2.182632,
2.0,281,,,,,282.1,,0,,,,,41.268198,b'\x00',,0,3,False,,24,,10.9,,,,True,4400,,613013405,,0,2.230163,
-2.0,110,,,,,324.6,,0,,,,,41.340313,b'\x00',,0,1,False,,26,,0.1,,,,True,82018,,225994881,,0,2.16544,
TurnRate.NO_TI_DEFAULT,511,,,,,360.0,,0,,,,,41.340407,b'\x00',,0,1,True,,26,,0.0,,,,True,49248,,224551570,,0,2.165245,
0.0,6,,,,,103.8,,15,,,,,41.345815,b'\x00',,0,1,False,,24,,0.0,,,,True,33790,,224026000,,0,2.15199,
